[00:46:08] [Server thread/INFO]: DonkeyBG has made the advancement [Hidden in the Depths]
[01:09:53] [Server thread/INFO]: DonkeyBG has completed the challenge [Subspace Bubble]
[01:51:48] [Server thread/WARN]: Fetching packet for removed entity bcv['Air'/131407, l='ServerLevel[world]', x=-141.59, y=63.00, z=101.73]
[02:07:45] [Server thread/INFO]: Scanning for legacy world dragon fight...
[02:07:45] [Server thread/INFO]: Found that the dragon has been killed in this world already.
[02:45:31] [Server thread/INFO]: DonkeyBG lost connection: Disconnected
[02:45:31] [Server thread/INFO]: DonkeyBG left the game
[02:59:52] [Server thread/INFO]: DonkeyBG[/78.83.125.59:24699] logged in with entity id 161168 at (10.025217295257747, 112.0, 351.5785740401027)
[02:59:52] [Server thread/INFO]: DonkeyBG joined the game
[03:08:43] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12323, y=74, z=8945} fx{x=12324, y=71, z=8945}
[03:08:43] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12323, y=74, z=8945} fx{x=12324, y=71, z=8945}
[03:08:44] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12323, y=74, z=8945} fx{x=12324, y=71, z=8945}
[03:08:44] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12323, y=74, z=8945} fx{x=12324, y=71, z=8945}
[03:08:44] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12323, y=74, z=8945} fx{x=12324, y=71, z=8945}
[03:08:48] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12328, y=78, z=8945} fx{x=12328, y=77, z=8944}
[03:08:48] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12328, y=78, z=8945} fx{x=12328, y=77, z=8944}
[03:08:48] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12328, y=78, z=8945} fx{x=12328, y=77, z=8944}
[03:08:49] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12327, y=79, z=8944} fx{x=12327, y=78, z=8944}
[03:08:49] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12327, y=79, z=8944} fx{x=12327, y=78, z=8944}
[03:08:49] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12327, y=79, z=8944} fx{x=12327, y=78, z=8944}
[03:08:49] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12327, y=79, z=8944} fx{x=12327, y=78, z=8944}
[03:08:49] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12327, y=79, z=8944} fx{x=12327, y=78, z=8944}
[03:08:49] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12327, y=79, z=8944} fx{x=12327, y=78, z=8944}
[03:08:49] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12327, y=79, z=8944} fx{x=12327, y=78, z=8944}
[03:08:49] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12327, y=79, z=8944} fx{x=12327, y=78, z=8944}
[03:08:49] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12327, y=79, z=8944} fx{x=12327, y=78, z=8944}
[03:08:49] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12327, y=79, z=8944} fx{x=12327, y=78, z=8944}
[03:09:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12324, y=79, z=8945} fx{x=12325, y=79, z=8945}
[03:09:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12324, y=79, z=8945} fx{x=12325, y=79, z=8945}
[03:09:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12324, y=79, z=8945} fx{x=12325, y=79, z=8945}
[03:09:23] [Server thread/WARN]: Mismatch in destroy block pos: fx{x=12324, y=79, z=8945} fx{x=12325, y=79, z=8945}
